# CHRIP の物質ページから抜いた IARC 発がん性評価: CAS / グループ / Agent名称 / Volume / 公表年 / CHRIP_ID
-	1	Nickel compounds	Sup 7, 49, 100C	2012	C001-180-29A
-	2B	Methylmercury compounds	58	1993	C001-365-09A
-	2A	Lead compounds, inorganic	Sup 7, 87	2006	C001-372-95A
-	1	Wood dust	62, 100C	2012	C001-375-80A
96-12-8	2B	1,2-Dibromo-3-chloropropane	20, Sup 7, 71	1999	C004-659-23A
7758-97-6	2A	Lead compounds, inorganic	Sup 7, 87	2006	C004-659-34A
7758-97-6	1	Chromium (VI) compounds	Sup 7, 49, 100C	2012	C004-659-34A
56-38-2	2B	Parathion	30, Sup 7, 112	2017	C004-659-67A
78-00-2	3	Lead compounds, organic	23, Sup 7, 87	2006	C004-659-89A
75-07-0	1	Acetaldehyde associated with consumption of alcoholic beverages	100E	2012	C004-659-90A
75-07-0	2B	Acetaldehyde	36, Sup 7, 71	1999	C004-659-90A
107-05-1	3	Allyl chloride	36, Sup 7, 71, 125	2020 online	C004-660-06A
62-53-3	2A	Aniline (see also Aniline hydrochloride)	27, Sup 7, 127	2021 online	C004-660-17A
1309-64-4	-	Antimony trioxide, see Trivalent antimony	-	-	C004-660-28A
7440-38-2	1	Arsenic and inorganic arsenic compounds	23, Sup 7, 100C	2012	C004-660-39A
12001-29-5	1	Asbestos (all forms, including actinolite, amosite, anthophyllite, chrysotile, crocidolite, tremolite)	14, Sup 7, 100C	2012	C004-660-40A
71-43-2	1	Benzene	29, Sup 7, 100F, 120	2018	C004-660-51A
100-44-7	2A	alpha-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures)	29, Sup 7, 71	1999	C004-660-62A
106-99-0	1	1,3-Butadiene	Sup 7, 54, 71, 97, 100F	2012	C004-660-73A
7440-43-9	1	Cadmium and cadmium compounds	58, 100C	2012	C004-661-08A
56-23-5	2B	Carbon tetrachloride	20, Sup 7, 71	1999	C004-661-42A
106-47-8	2B	para-Chloroaniline	57	1993	C004-661-64A
67-66-3	2B	Chloroform	Sup 7, 73	1999	C004-661-75A
88-73-3	2B	2-Chloronitrobenzene	65, 123	2020 online	C004-661-86A
88-73-3	-	Chloronitrobenzenes (see 2-Chloronitrobenzene, 3-Chloronitrobenzene, 4-Chloronitrobenzene)	-	-	C004-661-86A
7440-47-3	3	Chromium, metallic	Sup 7, 49	1990	C004-661-97A
94-75-7	2B	2,4-D (2,4-dichlorophenoxyacetic acid) (See also Chlorophenoxy herbicides)	113	2018	C004-662-33A
50-29-3	2A	DDT (4,4'-dichlorodiphenyltrichloroethane)	Sup 7, 53, 113	2018	C004-662-44A
84-74-2	2B	Dibutyl phthalate	142	In prep.	C004-662-66A
106-46-7	2B	para-Dichlorobenzene	Sup 7, 73	1999	C004-662-77A
123-91-1	2B	1,4-Dioxane	11, Sup 7, 71	1999	C004-663-13A
106-89-8	2A	Epichlorohydrin	11, Sup 7, 71	1999	C004-663-35A
64-17-5	1	Ethanol in alcoholic beverages	96, 100E	2012	C004-663-46A
106-93-4	2A	Ethylene dibromide	15, Sup 7, 71	1999	C004-663-57A
75-45-6	3	Chlorodifluoromethane	41, Sup 7, 71	1999	C004-663-91A
67-72-1	2B	Hexachloroethane	73	1999	C004-664-15A
7439-92-1	2B	Lead	23, Sup 7	1987	C004-664-26A
58-89-9	1	Lindane (see also Hexachlorocyclohexanes)	113	2018	C004-664-37A
7439-97-6	3	Mercury and inorganic mercury compounds	58	1993	C004-664-60A
75-09-2	2A	Dichloromethane (Methylene chloride)	Sup 7, 71, 110	2017	C004-664-82A
111-76-2	3	2-Butoxyethanol	88	2006	C004-664-93A
7440-02-0	2B	Nickel, metallic	Sup 7, 49	1990	C004-665-28A
7786-81-4	1	Nickel compounds	Sup 7, 49, 100C	2012	C004-665-39A
13463-39-3	1	Nickel compounds	Sup 7, 49, 100C	2012	C004-665-40A
98-95-3	2B	Nitrobenzene	65	1996	C004-665-51A
87-86-5	1	Pentachlorophenol (see also Polychlorophenols)	53, 71, 117	2019	C004-665-95A
108-95-2	3	Phenol	47, 71	1999	C004-666-08A
91-22-5	2B	Quinoline	121	2019	C004-666-19A
7782-49-2	3	Selenium and selenium compounds	9, Sup 7	1987	C004-666-20A
100-42-5	2A	Styrene	60, 82, 121	2019	C004-666-31A
7446-09-5	3	Sulfur dioxide	54	1992	C004-666-42A
127-18-4	2A	Tetrachloroethylene (Perchloroethylene)	Sup 7, 63, 106	2014	C004-666-64A
108-88-3	3	Toluene	47, 71	1999	C004-666-86A
71-55-6	2A	1,1,1-Trichloroethane	20, Sup 7, 71, 130	2022 online	C004-666-97A
79-00-5	3	1,1,2-Trichloroethane	52, 71	1999	C004-667-00A
79-01-6	1	Trichloroethylene	Sup 7, 63, 106	2014	C004-667-11A
75-01-4	1	Vinyl chloride	Sup 7, 97, 100F	2012	C004-667-22A
75-35-4	2B	Vinylidene chloride	39, Sup 7, 71, 119	2019	C004-667-33A
95-47-6	3	Xylenes	47, 71	1999	C004-667-44A
108-38-3	3	Xylenes	47, 71	1999	C004-667-55A
106-42-3	3	Xylenes	47, 71	1999	C004-667-66A
107-02-8	2A	Acrolein	63, Sup 7, 128	2021 online	C004-668-02A
79-06-1	2A	Acrylamide	60, Sup 7	1994	C004-668-13A
107-13-1	1	Acrylonitrile	19, Sup 7, 71, 136	2025 online	C004-668-24A
116-06-3	3	Aldicarb	53	1991	C004-668-46A
1912-24-9	2A	Atrazine	53, 73, 140	In prep.	C004-668-91A
151-56-4	2B	Aziridine	9, Sup 7, 71	1999	C004-669-04A
98-87-3	2A	alpha-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures)	29, Sup 7, 71	1999	C004-669-15A
50-32-8	1	Benzo[a]pyrene	Sup 7, 92, 100F	2012	C004-669-48A
98-07-7	2A	alpha-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures)	29, Sup 7, 71	1999	C004-669-59A
75-25-2	3	Bromoform	52, 71	1999	C004-669-82A
74-83-9	3	Methyl bromide	41, Sup 7, 71	1999	C004-669-93A
75-65-0	3	tert-Butyl alcohol	138	In prep.	C004-670-43A
2426-08-6	2B	1-Butyl glycidyl ether	125	2020 online	C004-670-54A
10108-64-2	1	Cadmium and cadmium compounds	58, 100C	2012	C004-670-65A
1306-19-0	1	Cadmium and cadmium compounds	58, 100C	2012	C004-670-76A
105-60-2	3	Caprolactam	39, Sup 7, 71	1999	C004-670-87A
2425-06-1	2A	Captafol	53	1991	C004-670-98A
133-06-2	3	Captan	30, Sup 7	1987	C004-671-01A
63-25-2	3	Carbaryl	12, Sup 7	1987	C004-671-12A
6164-98-3	3	Chlordimeform	30, Sup 7	1987	C004-671-45A
75-00-3	3	Chloroethane	52, 71	1999	C004-672-25A
126-99-8	2B	Chloroprene	Sup 7, 71	1999	C004-672-36A
1897-45-6	2B	Chlorothalonil	Sup 7, 73	1999	C004-672-47A
333-41-5	2A	Diazinon	112	2017	C004-672-70A
57-14-7	2B	1,1-Dimethylhydrazine	4, Sup 7, 71	1999	C004-673-72A
77-78-1	2A	Dimethyl sulfate	4, Sup 7, 71	1999	C004-673-83A
1675-54-3	3	Bisphenol A diglycidyl ether (Araldite)	47, 71	1999	C004-674-18A
75-21-8	1	Ethylene oxide	Sup 7, 60, 97, 100F	2012	C004-674-52A
556-52-5	2A	Glycidol	77	2000	C004-674-85A
1071-83-6	2A	Glyphosate	112	2017	C004-674-96A
70-30-4	3	Hexachlorophene	20, Sup 7	1987	C004-675-09A
680-31-9	2B	Hexamethylphosphoramide	15, Sup 7, 71	1999	C004-675-10A
7647-01-0	3	Hydrochloric acid	54	1992	C004-675-21A
7722-84-1	3	Hydrogen peroxide	36, Sup 7, 71	1999	C004-675-32A
123-31-9	3	Hydroquinone	15, Sup 7, 71	1999	C004-675-54A
78-59-1	2B	Isophorone	130	2022 online	C004-675-87A
98-82-8	2B	Cumene	101	2013	C004-675-98A
121-75-5	2A	Malathion	30, Sup 7, 112	2017	C004-676-12A
12427-38-2	3	Maneb	12, Sup 7	1987	C004-676-23A
7757-79-1	2A	Nitrate or nitrite (ingested) under conditions that result in endogenous nitrosation	94	2010	C004-677-36A
7631-99-4	2A	Nitrate or nitrite (ingested) under conditions that result in endogenous nitrosation	94	2010	C004-677-47A
79-46-9	2B	2-Nitropropane	29, Sup 7, 71	1999	C004-677-69A
122-60-1	2B	Phenyl glycidyl ether	47, 71	1999	C004-677-70A
75-56-9	2B	Propylene oxide	Sup 7, 60	1994	C004-678-16A
101-90-6	2B	Diglycidyl resorcinol ether	36, Sup 7, 71	1999	C004-678-27A
75-74-1	3	Lead compounds, organic	23, Sup 7, 87	2006	C004-678-72A
1582-09-8	3	Trifluralin	53	1991	C004-679-29A
6484-52-2	2A	Nitrate or nitrite (ingested) under conditions that result in endogenous nitrosation	94	2010	C004-680-13A
7784-34-1	1	Arsenic and inorganic arsenic compounds	23, Sup 7, 100C	2012	C004-680-68A
7784-42-1	1	Arsenic and inorganic arsenic compounds	23, Sup 7, 100C	2012	C004-680-79A
92-87-5	1	Benzidine	29, Sup 7, 99, 100F	2012	C004-680-91A
94-36-0	3	Benzoyl peroxide	36, Sup 7, 71	1999	C004-681-04A
7440-41-7	1	Beryllium and beryllium compounds	Sup 7, 58, 100C	2012	C004-681-15A
60-35-5	2B	Acetamide	7, Sup 7, 71	1999	C004-681-71A
302-17-0	2A	Chloral hydrate	63, 84, 106	2014	C004-681-82A
542-88-1	1	Bis(chloromethyl)ether; chloromethyl methyl ether (technical-grade)	4, Sup 7, 100F	2012	C004-682-17A
107-30-2	1	Bis(chloromethyl)ether; chloromethyl methyl ether (technical-grade)	4, Sup 7, 100F	2012	C004-682-28A
107-30-2	-	Chloromethyl methyl ether (see Bis(chloromethyl)ether; chloromethyl methyl ether)	-	-	C004-682-28A
4170-30-3	2B	Crotonaldehyde	63, 128	2021 online	C004-682-51A
52918-63-5	3	Deltamethrin	53	1991	C004-683-19A
61790-53-2	3	Silica, amorphous	Sup 7, 68	1997	C004-683-20A
107-06-2	2B	1,2-Dichloroethane	20, Sup 7, 71	1999	C004-683-42A
611-06-3	2B	2,4-Dichloro-1-nitrobenzene	123	2020 online	C004-683-64A
127-19-5	2B	N,N-Dimethylacetamide	123	2020 online	C004-684-33A
122-66-7	2B	1,2-Diphenylhydrazine	130	2022 online	C004-684-77A
105-74-8	3	Lauroyl peroxide	36, Sup 7, 71	1999	C004-684-88A
140-88-5	2B	Ethyl acrylate	39, Sup 7, 71, 122	2019	C004-685-13A
100-41-4	2B	Ethylbenzene	77	2000	C004-685-24A
117-81-7	2B	Di(2-ethylhexyl)phthalate	Sup 7, 77, 101	2013	C004-685-57A
117-81-7	-	Bis(2-ethylhexyl) phthalate (see Di(2-ethylhexyl) phthalate)	-	-	C004-685-57A
51630-58-1	3	Fenvalerate	53	1991	C004-685-79A
50-00-0	1	Formaldehyde	Sup 7, 62, 88, 100F	2012	C004-685-91A
98-01-1	3	Furfural	63	1995	C004-686-04A
302-01-2	2A	Hydrazine	4, Sup 7, 71, 115	2018	C004-686-59A
1317-36-8	2A	Lead compounds, inorganic	Sup 7, 87	2006	C004-687-28A
101-68-8	3	4,4'-Methylenediphenyl diisocyanate	19, Sup 7, 71	1999	C004-688-20A
80-62-6	3	Methyl methacrylate	Sup 7, 60	1994	C004-688-42A
110-91-8	3	Morpholine	47, 71	1999	C004-688-64A
61790-14-5	3	Lead compounds, organic	23, Sup 7, 87	2006	C004-688-86A
52645-53-1	3	Permethrin	53	1991	C004-689-66A
51-79-6	2A	Ethyl carbamate (Urethane)	7, Sup 7, 96	2010	C004-689-88A
75-55-8	2B	2-Methylaziridine (Propyleneimine)	9, Sup 7, 71	1999	C004-690-61A
110-86-1	2B	Pyridine	77, 119	2019	C004-690-72A
14807-96-6	-	Talc-based body powder (perineal use of) (see Talc)	93	2010	C004-691-30A
14807-96-6	2A	Talc	42, Sup 7, 93, 136	2025 online	C004-691-30A
14807-96-6	-	Talc containing asbestos (see Asbestos)	Sup 7, 93, 100C	2012	C004-691-30A
79-34-5	2B	1,1,2,2-Tetrachloroethane	20, Sup 7, 71, 106	2014	C004-691-52A
7440-29-1	1	Thorium-232 and its decay products	78, 100D	2012	C004-691-96A
13463-67-7	2B	Titanium dioxide	47, 93	2010	C004-692-09A
584-84-9	2B	Toluene diisocyanates	39, Sup 7, 71	1999	C004-692-10A
95-53-4	1	ortho-Toluidine	Sup 7, 77, 99, 100F	2012	C004-692-32A
108-05-4	2B	Vinyl acetate	Sup 7, 63	1995	C004-692-98A
137-30-4	3	Ziram	Sup 7, 53	1991	C004-693-01A
12122-67-7	3	Zineb	12, Sup 7	1987	C004-693-23A
7664-93-9	1	Acid mists, strong inorganic	54, 100F	2012	C004-694-36A
7664-93-9	-	Strong-inorganic-acid mists containing sulfuric acid (see Acid mists)	-	-	C004-694-36A
15972-60-8	2A	Alachlor	140	In prep.	C004-694-92A
57-06-7	3	Allyl isothiocyanate	73, Sup 7	1999	C004-695-05A
1303-28-2	1	Arsenic and inorganic arsenic compounds	23, Sup 7, 100C	2012	C004-695-50A
1327-53-3	1	Arsenic and inorganic arsenic compounds	23, Sup 7, 100C	2012	C004-695-61A
56-55-3	2B	Benz[a]anthracene	92, Sup 7	2010	C004-696-30A
624-18-0	3	para-Phenylenediamine	16, Sup 7	1987	C004-696-41A
271-89-6	2B	Benzofuran	63	1995	C004-696-63A
119-61-9	2B	Benzophenone	101	2013	C004-696-74A
141-32-2	3	n-Butyl acrylate	39, Sup 7, 71	1999	C004-697-65A
123-72-8	2B	Butyraldehyde	141	In prep.	C004-697-98A
1306-23-6	1	Cadmium and cadmium compounds	58, 100C	2012	C004-698-01A
58-08-2	3	Caffeine	51	1991	C004-698-12A
120-80-9	2B	Catechol	15, Sup 7, 71	1999	C004-698-78A
111-44-4	3	Bis(2-chloroethyl)ether	9, Sup 7, 71	1999	C004-699-25A
74-87-3	3	Methyl chloride	41, Sup 7, 71	1999	C004-699-36A
108-94-1	3	Cyclohexanone	47, 71	1999	C004-699-92A
53-70-3	2A	Dibenz[a,h]anthracene	Sup 7, 92	2010	C004-700-57A
78-87-5	1	1,2-Dichloropropane	41, Sup 7, 71, 110	2017	C004-701-26A
148-18-5	3	Sodium diethyldithiocarbamate	12, Sup 7	1987	C004-701-71A
99-97-8	2B	N,N-Dimethyl-p-toluidine	115	2018	C004-702-39A
68-12-2	2A	N,N-Dimethylformamide	47, 71, 115	2018	C004-702-40A
122-39-4	2B	Diphenylamine	130	2022 online	C004-703-08A
1333-86-4	2B	Carbon black	Sup 7, 65, 93	2010	C004-703-53A
74-85-1	3	Ethylene	Sup 7, 60	1994	C004-703-97A
103-11-7	2B	2-Ethylhexyl acrylate	60, 122	2019	C004-704-22A
91-94-1	2B	3,3'-Dichlorobenzidine	29, Sup 7	1987	C004-704-55A
7681-52-9	3	Hypochlorite salts	52	1991	C004-704-66A
101-14-4	1	4,4'-Methylenebis(2-chloroaniline) (MOCA)	Sup 7, 57, 99, 100F	2012	C004-707-28A
74-88-4	3	Methyl iodide	41, Sup 7, 71	1999	C004-707-39A
108-10-1	2B	Methyl isobutyl ketone	101	2013	C004-707-40A
25013-15-4	3	Vinyl toluene	60	1994	C004-707-62A
134-32-7	3	1-Naphthylamine	4, Sup 7	1987	C004-707-95A
75-52-5	2B	Nitromethane	77	2000	C004-708-31A
62-75-9	2A	N-Nitrosodimethylamine	17, Sup 7	1987	C004-708-42A
67-63-0	3	Isopropyl alcohol	15, Sup 7, 71	1999	C004-711-07A
57-57-8	2B	beta-Propiolactone	4, Sup 7, 71	1999	C004-711-18A
115-07-1	3	Propylene	Sup 7, 60	1994	C004-711-52A
64-67-5	2A	Diethyl sulfate	54, 71	1999	C004-712-65A
109-99-9	2B	Tetrahydrofuran	119	2019	C004-713-34A
62-55-5	2B	Thioacetamide	7, Sup 7	1987	C004-713-45A
95-80-7	2B	2,4-Diaminotoluene	16, Sup 7	1987	C004-713-78A
52-68-6	3	Trichlorfon	30, Sup 7	1987	C004-713-90A
76-03-9	2B	Trichloroacetic acid	63, 84, 106	2014	C004-714-03A
1314-62-1	2B	Vanadium pentoxide	86	2006	C004-714-92A
593-60-2	2A	Vinyl bromide	39, Sup 7, 71, 97	2008	C004-715-05A
75-02-5	2A	Vinyl fluoride	Sup 7, 63, 97	2008	C004-715-16A
111-42-2	2B	Diethanolamine	77, 101	2013	C004-716-74A
96-33-3	2B	Methyl acrylate	39, Sup 7, 71, 122	2019	C004-717-43A
298-00-0	3	Methyl parathion	30, Sup 7	1987	C004-717-54A
61-82-5	3	Amitrole	79, Sup 7	2001	C004-717-98A
106-88-7	2B	1,2-Epoxybutane	47, 71	1999	C004-718-45A
3173-72-6	3	1,5-Naphthalene diisocyanate	19, Sup 7, 71	1999	C004-719-69A
91-20-3	2B	Naphthalene	82	2002	C004-720-97A
2243-62-1	3	1,5-Naphthalenediamine	27, Sup 7	1987	C004-721-00A
90-43-7	3	ortho-Phenylphenol	73	1999	C004-721-11A
58-55-9	3	Theophylline	51	1991	C004-721-88A
62-56-6	3	Thiourea	Sup 7, 79	2001	C004-721-99A
96-18-4	2A	1,2,3-Trichloropropane	63	1995	C004-722-13A
75-38-7	3	Vinylidene fluoride	39, Sup 7, 71	1999	C004-722-57A
79-10-7	3	Acrylic acid	19, Sup 7, 71	1999	C004-722-68A
50-18-0	1	Cyclophosphamide	26, Sup 7, 100A	2012	C004-722-79A
62-73-7	2B	Dichlorvos	Sup 7, 53	1991	C004-722-80A
122-34-9	3	Simazine	53, 73	1999	C004-723-59A
205-99-2	2B	Benzo[b]fluoranthene	92	2010	C004-725-31A
207-08-9	2B	Benzo[k]fluoranthene	92	2010	C004-725-42A
121-14-2	2B	2,4-Dinitrotoluene	65	1996	C004-726-00A
606-20-2	2B	2,6-Dinitrotoluene	65	1996	C004-726-11A
193-39-5	2B	Indeno[1,2,3-cd]pyrene	Sup 7, 92	2010	C004-726-33A
98-83-9	2B	α-Methylstyrene	101	2013	C004-726-55A
611-15-4	3	Vinyl toluene	60	1994	C004-726-66A
622-97-9	3	Vinyl toluene	60	1994	C004-726-88A
191-24-2	3	Benzo[ghi]perylene	92, Sup 7	2010	C004-727-24A
57-74-9	2B	Chlordane	Sup 7, 53, 79	2001	C004-727-35A
76-44-8	2B	Heptachlor	Sup 7, 53, 79	2001	C004-727-68A
82-68-8	3	Quintozene (Pentachloronitrobenzene)	5, Sup 7	1987	C004-727-80A
115-32-2	3	Dicofol	30, Sup 7	1987	C004-728-48A
124-58-3	2B	Methylarsonic acid	100C	2012	C004-728-71A
124-58-3	-	Monomethylarsonic acid (see Methylarsonic acid)	-	-	C004-728-71A
10380-28-6	3	Copper 8-hydroxyquinoline	15, Sup 7	1987	C004-728-82A
137-26-8	3	Thiram	Sup 7, 53	1991	C004-728-93A
92-67-1	1	4-Aminobiphenyl	1, Sup 7, 99, 100F	2012	C004-729-17A
80-15-9	2B	Cumyl hydroperoxide	141	In prep.	C004-729-39A
7778-44-1	1	Arsenic and inorganic arsenic compounds	23, Sup 7, 100C	2012	C004-729-73A
309-00-2	2A	Dieldrin, and aldrin metabolized to dieldrin	5, Sup 7, 117	2019	C004-730-67A
309-00-2	-	Aldrin (see Dieldrin, and aldrin metabolized to dieldrin)	-	-	C004-730-67A
106-51-4	3	para-Quinone	15, Sup 7, 71	1999	C004-731-03A
7440-48-4	2A	Cobalt metal with tungsten carbide	86	2006	C004-731-36A
7440-48-4	2A	Cobalt metal (without tungsten carbide or other metal alloys)	52, 86, 131	2023 online	C004-731-36A
7440-48-4	-	Tungsten carbide with cobalt metal (see Cobalt metal with tungsten carbide)	-	-	C004-731-36A
60-57-1	2A	Dieldrin, and aldrin metabolized to dieldrin	5, Sup 7 ,117	2019	C004-731-81A
60-57-1	-	Dieldrin (see Dieldrin, and aldrin metabolized to dieldrin)	-	-	C004-731-81A
14484-64-1	3	Ferbam	12, Sup 7	1987	C004-732-38A
98-00-0	2B	Furfuryl alcohol	119	2019	C004-732-50A
108-99-6	3	β-Picoline	122	2019	C004-733-30A
106-50-3	3	para-Phenylenediamine	16, Sup 7	1987	C004-733-63A
15468-32-3	1	Silica dust, crystalline, in the form of quartz or cristobalite	Sup 7, 68, 100C	2012	C004-733-85A
